id,name,slug,longitude,latitude,country,info:fr
17987,Brugelette,brugelette,3.8520300000,50.5942560000,BE,
17988,Cambron-Casteau,cambron-casteau,3.8748990000,50.5865440000,BE,
17989,Lens Gare,lens-gare,3.9033580000,50.5588750000,BE,Belgique
17990,Erbisoeul,erbisoeul,3.8881310000,50.5073760000,BE,
17991,Ghlin,ghlin,3.9068910000,50.4874470000,BE,
17992,Vorst-Zuid,vorst-zuid,4.3097880000,50.8090810000,BE,Forest-Midi
17993,Ruisbroek,ruisbroek,4.2946950000,50.7907970000,BE,
17994,Lot,lot,4.2737320000,50.7663010000,BE,
17995,Hennuyeres,hennuyeres,4.1766580000,50.6515180000,BE,
17996,Neufvilles,neufvilles,4.0100240000,50.5431890000,BE,
17997,Masnuy-St.-Pierre,masnuy-st-pierre,3.9617070000,50.5364290000,BE,
17998,Frameries,frameries,3.9063520000,50.4057710000,BE,
17999,Genly,genly,3.9110890000,50.3915230000,BE,
18000,Boussu,boussu,3.7961620000,50.4361270000,BE,
18001,Hainin,hainin,3.7685470000,50.4283780000,BE,
18002,Thulin,thulin,3.7458940000,50.4233350000,BE,
18003,Ecaussinnes,ecaussinnes,4.1571870000,50.5619130000,BE,
18004,Marche-lez-Ecaussinnes,marche-lez-ecaussinnes,4.1770080000,50.5462090000,BE,
18005,Familleureux,familleureux,4.2102050000,50.5202300000,BE,
18006,Leval Gare,leval-gare,4.2105650000,50.4296370000,BE,Belgique
18007,Binche,binche,4.1730170000,50.4088990000,BE,
18008,Godarville,godarville,4.2903980000,50.4929750000,BE,
18009,Gouy-lez-Pieton,gouy-lez-pieton,4.3252580000,50.4967140000,BE,
18010,Pont-a-Celles,pont-a-celles,4.3623120000,50.5127240000,BE,
18011,Courcelles-Motte,courcelles-motte,4.4006780000,50.4629780000,BE,
18012,Roux,roux,4.3940080000,50.4429320000,BE,
18013,Obourg,obourg,4.0083970000,50.4698730000,BE,
18014,Havre,havre,4.0603730000,50.4706010000,BE,
18015,Thieu,thieu,4.0976150000,50.4695940000,BE,
18016,Carnieres,carnieres,4.2639250000,50.4478040000,BE,
18017,Forchies,forchies,4.3241350000,50.4331790000,BE,
18018,Gontrode,gontrode,3.8015290000,50.9798400000,BE,
18019,Landskouter,landskouter,3.7913080000,50.9706260000,BE,
18020,Moortsele,moortsele,3.7812310000,50.9534200000,BE,
18021,Balegem-Dorp,balegem-dorp,3.7915420000,50.9194320000,BE,
18022,Balegem-Zuid,balegem-zuid,3.8060500000,50.8996830000,BE,
18023,Lierde,lierde,3.8273370000,50.8158050000,BE,
18024,Herne Station,herne-station,4.0135210000,50.7243660000,BE,Belgique
18025,Galmaarden,galmaarden,3.9664090000,50.7435940000,BE,
18026,Vorst-Oost,vorst-oost,4.3210420000,50.8099170000,BE,Forest-Est
18027,Ukkel-Stalle,ukkel-stalle,4.3238200000,50.8024650000,BE,Uccle
18028,Ukkel-Kalevoet,ukkel-kalevoet,4.3322790000,50.7915250000,BE,Uccle Calevoet
18029,Linkebeek,linkebeek,4.3393440000,50.7738250000,BE,
18030,Holleken,holleken,4.3545720000,50.7672720000,BE,
18031,St.-Genesius-Rode,st-genesius-rode,4.3619970000,50.7479180000,BE,Rhode-Saint-Genèse
18032,De Hoek,de-hoek,4.3704200000,50.7391710000,BE,
18033,Lillois,lillois,4.3653140000,50.6452790000,BE,
18034,Obaix-Buzet,obaix-buzet,4.3636960000,50.5352150000,BE,
18035,Sclessin,sclessin,5.5557290000,50.6107070000,BE,
18036,Pont-de-Seraing,pont-de-seraing,5.5101350000,50.6197050000,BE,
18037,Jemeppe-sur-Meuse,jemeppe-sur-meuse,5.4978920000,50.6184640000,BE,
18038,Flemalle-Grande,flemalle-grande,5.4805520000,50.6050790000,BE,
18039,Leman,leman,5.4672300000,50.5995780000,BE,
18040,Engis,engis,5.4027140000,50.5828310000,BE,
18041,Haute-Flone,haute-flone,5.3306120000,50.5537420000,BE,
18042,Amay,amay,5.3211910000,50.5462270000,BE,
18043,Ampsin,ampsin,5.2897560000,50.5392960000,BE,
18044,Bas-Oha,bas-oha,5.1916740000,50.5229180000,BE,
18045,Chateau-de-Seilles,chateau-de-seilles,5.0813590000,50.4974160000,BE,
18046,Sclaigneaux,sclaigneaux,5.0261920000,50.4921120000,BE,
18047,Nameche,nameche,4.9971750000,50.4700970000,BE,
18048,Marche-les-Dames,marche-les-dames,4.9653710000,50.4806240000,BE,
18049,Couillet,couillet,4.4691490000,50.3926730000,BE,
18050,Le Campinaire,le-campinaire,4.5431930000,50.4239200000,BE,
18051,Farciennes,farciennes,4.5524520000,50.4289360000,BE,
18052,Aiseau,aiseau,4.5844710000,50.4295470000,BE,
18053,Moustier,moustier,4.6951010000,50.4528290000,BE,
18054,Franiere,franiere,4.7336740000,50.4395250000,BE,
18055,Floreffe,floreffe,4.7627000000,50.4433810000,BE,
18056,Marchienne-Zone,marchienne-zone,4.3907450000,50.3979590000,BE,
18057,Landelies,landelies,4.3508240000,50.3774460000,BE,
18058,Hourpes,hourpes,4.3084480000,50.3648790000,BE,
18059,Thuin,thuin,4.2883570000,50.3424870000,BE,
18060,Fontaine-Valmont,fontaine-valmont,4.2130370000,50.3211550000,BE,
18061,Beignee,beignee,4.4064850000,50.3337760000,BE,
18062,Ham-sur-Heure,ham-sur-heure,4.4048940000,50.3199240000,BE,
18063,Cour-sur-Heure,cour-sur-heure,4.3916700000,50.3003630000,BE,
18064,Pry,pry,4.4291910000,50.2691790000,BE,
18065,Yves-Gomezee,yves-gomezee,4.4953070000,50.2369440000,BE,
18066,Limal,limal,4.5756440000,50.6918160000,BE,
18067,Bierges,bierges,4.5916180000,50.7052730000,BE,
18068,Wavre,wavre,4.6052900000,50.7161680000,BE,
18069,Basse-Wavre,basse-wavre,4.6217490000,50.7243030000,BE,
18070,Gastuche,gastuche,4.6500110000,50.7364840000,BE,
18071,Archennes,archennes,4.6624170000,50.7542010000,BE,
18072,Florival,florival,4.6542000000,50.7612400000,BE,
18073,Pecrot,pecrot,4.6514140000,50.7785260000,BE,
18074,St.-Joris-Weert,st-joris-weert,4.6517100000,50.8006580000,BE,
18075,Oud-Heverlee,oud-heverlee,4.6532030000,50.8354640000,BE,
18076,Charleroi-Ouest,charleroi-ouest,4.4370120000,50.4114610000,BE,
18077,Lodelinsart,lodelinsart,4.4631710000,50.4325580000,BE,
18078,Ligny,ligny,4.5660520000,50.5114750000,BE,
18079,Villers-la-Ville,villers-la-ville,4.5332690000,50.5781120000,BE,
18080,La Roche,la-roche,4.5397770000,50.6107070000,BE,
18081,Faux,faux,4.5494490000,50.6219970000,BE,
18082,Court-St.-Etienne,court-st-etienne,4.5656840000,50.6459800000,BE,
18083,Ceroux-Mousty,ceroux-mousty,4.5691890000,50.6599860000,BE,
18084,Lustin,lustin,4.8770250000,50.3690230000,BE,
18085,Godinne,godinne,4.8690970000,50.3488510000,BE,
18086,Watermael/Watermaal,watermael-watermaal,4.3998510000,50.8092960000,BE,
18087,Boitsfort/Bosvoorde,boitsfort-bosvoorde,4.4081840000,50.7944820000,BE,
18088,Groenendaal,groenendaal,4.449228,50.766157,BE,
18089,Hoeilaart,hoeilaart,4.468124,50.759937,BE,
18090,La Hulpe,la-hulpe,4.4971770000,50.7380930000,BE,
18091,Genval,genval,4.5148860000,50.7257780000,BE,
18092,Rixensart,rixensart,4.5329270000,50.7117540000,BE,
18093,Profondsart,profondsart,4.5493410000,50.6938480000,BE,
18094,Louvain-la-neuve-Uni,louvain-la-neuve-uni,4.6167060000,50.6701610000,BE,
18095,Mont-St.-Guibert,mont-st-guibert,4.6130840000,50.6382050000,BE,
18096,Blanmont,blanmont,4.6358800000,50.6204240000,BE,
18097,Chastre,chastre,4.6495080000,50.6081540000,BE,
18098,Ernage,ernage,4.6676750000,50.5920180000,BE,
18099,Lonzee,lonzee,4.7207750000,50.5514500000,BE,
18100,Beuzet,beuzet,4.7485870000,50.5339210000,BE,
18101,St.-Denis-Bovesse,st-denis-bovesse,4.7678780000,50.5211920000,BE,
18102,Naninne,naninne,4.9297380000,50.4197040000,BE,
