name,howbig,latitude,longitude,postalCode,city,department,region
Saint-Joseph le Castellas,c,43.3518976, 5.3770681,13015,Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
Grasse,b,43.653317, 6.925524,6520,Grasse,Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Biot,b,43.610951, 7.12609,6410,Biot,Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Agay,c,43.4313701, 6.8564997,83530,Saint-Raphaël,Var,Provence-Alpes-Côte d'Azur
Breil-sur-Roya,c,43.944039, 7.5163276,6540,Breil-sur-Roya,Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Peille,c,43.7920239, 7.3800257,6440,Peille,Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Peillon - Sainte-Thècle,c,43.767846, 7.366807,6440,Peillon,Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Roquebrune-Cap-Martin,c,43.7606178, 7.457343,6190,Roquebrune-Cap-Martin,Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Villefranche-sur-Mer,b,43.707061, 7.314129,6230,Villefranche-sur-Mer,Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Nice Riquier,b,43.705554, 7.290175,6300,Nice,Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Nice,a,43.704556, 7.261904,6008,Nice,Alpes-Maritimes,Provence-Alpes-Côte d'Azur
Le Luc - Le Cannet,c,43.3902379, 6.3430972,83340,Cannet-des-Maures,Var,Provence-Alpes-Côte d'Azur
Bandol,b,43.140344, 5.750118,83150,Bandol,Var,Provence-Alpes-Côte d'Azur
Sénas,c,43.7409571, 5.0733645,13560,Sénas,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
Carry-le-Rouet,b,43.336592, 5.153594,13620,Carry-le-Rouet,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
Pas des Lanciers,b,43.409655, 5.253822,13730,Saint-Victoret,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
Miramas,b,43.580704, 5.000264,13140,Miramas,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
La Ciotat,b,43.199593, 5.632647,13600,Ciotat,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
Saint-Louis les Aygalades,c,43.3461208, 5.3651173,13000,Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
Marseille Saint-Charles,a,43.302666, 5.380407,13232,Marseille,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur
Clelles - Mens,c,44.8272443, 5.6050622,38930,Clelles,Isère,Rhône-Alpes
Saint-Georges-de-Commiers,c,45.0437667, 5.7017874,38450,Saint-Georges-de-Commiers,Isère,Rhône-Alpes
Jarrie - Vizille,c,45.0854543, 5.7424487,38560,Jarrie,Isère,Rhône-Alpes
