Intitulé gare;Code UIC;Segment DRG;Niveau de service;Nombre plateformes;WGS 84;Code postal;Commune;Département;Région
Couzon-au-Mont-d'Or;0087721241;c;1;1;45.8486737, 4.8294786;69270;Couzon-au-Mont-d'Or;Rhône;Rhône-Alpes
Lyon Gorge de Loup;0087721175;b;1;1;45.766078, 4.804631;69009;Lyon;Rhône;Rhône-Alpes
Morteau;0087718619;b;1;1;47.053727, 6.604653;25500;Morteau;Doubs;Franche-Comté
Mamirolle;0087718510;c;1;1;47.1998712, 6.1617411;25620;Mamirolle;Doubs;Franche-Comté
Saint-Vit;0087718320;b;1;1;47.183507, 5.809057;25410;Saint-Vit;Doubs;Franche-Comté
Dannemarie - Velesmes;0087718312;c;1;1;47.2038599, 5.8738348;25410;Dannemarie-sur-Crète;Doubs;Franche-Comté
Poligny;0087718189;c;1;1;46.8443393, 5.7001051;39800;Poligny;Jura;Franche-Comté
Torpes - Boussières;0087718114;c;1;1;47.1637546, 5.8887804;25320;Torpes;Doubs;Franche-Comté
Fontaines - Mercurey;0087713586;c;1;1;46.8512109, 4.7750693;71150;Fontaines;Saône-et-Loire;Bourgogne
Meursault;0087713560;c;1;1;46.9690497, 4.7954444;21190;Meursault;Côte-d'Or;Bourgogne
Verrey;0087713081;c;1;1;47.4385905, 4.6700223;21540;Verrey-sous-Salmaise;Côte-d'Or;Bourgogne
Blaisy-Bas;0087713073;c;1;1;47.3734427, 4.7410755;21540;Blaisy-Bas;Côte-d'Or;Bourgogne
Dijon;0087713040;a;3;1;47.32337, 5.027208;21000;Dijon;Côte-d'Or;Bourgogne
Dijon Porte Neuve;0087713008;b;1;1;47.322806, 5.054872;21000;Dijon;Côte-d'Or;Bourgogne
Lantenay;0087712323;c;1;1;47.3351085, 4.860963;21370;Lantenay;Côte-d'Or;Bourgogne
Luzy;0087696534;c;1;1;46.7940793, 3.9693245;58170;Luzy;Nièvre;Bourgogne
Bessay;0087696336;c;1;1;46.4435849, 3.3606477;03340;Bessay-sur-Allier;Allier;Auvergne
Villeneuve-sur-Allier;0087696310;c;1;1;46.6592073, 3.2469557;03460;Villeneuve-sur-Allier;Allier;Auvergne
Saincaize;0087696260;c;1;1;46.9314165, 3.0718704;58470;Saincaize-Meauce;Nièvre;Bourgogne
Tronsanges;0087696203;c;1;1;47.113029, 3.0541532;58400;Tronsanges;Nièvre;Bourgogne
